time	V(vout)
Step Information: Run=0  (Run: 1/65)
2.847482320697215e+000	3.253169e+000
2.847482320739234e+000	3.253393e+000
2.847482320823273e+000	3.253802e+000
2.847482320991351e+000	3.254517e+000
2.847482321327506e+000	3.255752e+000
2.847482321999817e+000	3.257954e+000
2.847482323038432e+000	3.261068e+000
2.847482324844306e+000	3.265834e+000
2.847482328456055e+000	3.273362e+000
2.847482334204396e+000	3.281990e+000
2.847482338264259e+000	3.286072e+000
2.847482343018862e+000	3.289100e+000
2.847482347630485e+000	3.291045e+000
2.847482352726812e+000	3.292485e+000
2.847482358385602e+000	3.293566e+000
2.847482366168965e+000	3.294564e+000
2.847482374427133e+000	3.295262e+000
2.847482387310815e+000	3.295956e+000
2.847482400702216e+000	3.296409e+000
2.847482424702770e+000	3.296894e+000
2.847482447979600e+000	3.297174e+000
2.847482493129448e+000	3.297476e+000
2.847482539230561e+000	3.297650e+000
2.847482631432788e+000	3.297830e+000
2.847482732077890e+000	3.297934e+000
2.847482933368093e+000	3.298030e+000
2.847483259465324e+000	3.298099e+000
2.847485216048711e+000	3.298183e+000
2.847487824826561e+000	3.298200e+000
2.847493042382260e+000	3.298206e+000
2.847503477493659e+000	3.298207e+000
2.852825384306883e+000	3.298207e+000
2.862591009306883e+000	3.298208e+000
2.872356634306883e+000	3.298209e+000
2.887005071806883e+000	3.298210e+000
2.901653509306883e+000	3.298211e+000
2.916301946806883e+000	3.298212e+000
2.935833196806883e+000	3.298213e+000
2.960247259306883e+000	3.298214e+000
2.984661321806883e+000	3.298215e+000
3.013958196806883e+000	3.298216e+000
3.048137884306883e+000	3.298217e+000
3.082317571806883e+000	3.298218e+000
3.116497259306883e+000	3.298219e+000
3.155559759306883e+000	3.298219e+000
3.194622259306883e+000	3.298219e+000
3.238567571806883e+000	3.298218e+000
3.272747259306883e+000	3.298211e+000
3.302044134306883e+000	3.298186e+000
3.311809759306883e+000	3.298148e+000
3.316692571806883e+000	3.298098e+000
3.318523626494383e+000	3.298011e+000
